ion,airwave,ritzwave,relint
Ar II,3000.109,3000.10929,3
Ar II,3000.4451,3000.44527,17
Ar III,3002.6407,3002.6399,16
Ar II,3002.964,3002.96447,4
Ar II,3004.486,3004.48994,2
Ar III,,3005.22,
Ar VIII,3006.6,3006.6,
Ar III,3010.02,3009.985,10
Ar II,3014.4819,3014.48204,7
Ar IV,3016.15,3016.07,5
Ar III,3023.9801,3023.9806,5
Ar II,3026.7455,3026.74550,35
Ar III,3027.16,3027.0864,5
Ar VIII,3028.1,3028.2,
Ar II,3028.721,3028.72055,3
Ar II,3028.9140,3028.91004,47
Ar II,3028.9140,3028.91399,47
Ar II,3033.5082,3033.50811,78
Ar II,3036.887,3036.89238,2
Ar III,3036.96,3036.8767,3
Ar IV,3037.91,3037.90,9
Ar II,3042.463,3042.46739,1
Ar II,3046.0787,3046.07913,6
Ar II,3047.053,3047.05269,0.5
Ar II,3048.021,3048.02474,2
Ar II,3048.784,3048.78841,2
Ar II,3050.043,3050.04111,1
Ar II,3053.151,3053.15013,5
Ar III,3054.7736,3054.775,3
Ar II,3055.281,3055.27974,0.5
Ar II,3060.9059,3060.90557,7
Ar II,3062.643,3062.64300,3
Ar III,3064.77,3064.745,10
Ar II,3065.120,3065.13328,3
Ar II,3065.400,3065.41182,0.5
Ar II,3066.889,3066.88823,6
Ar II,3071.66,3071.66501,0.5
Ar VIII,3073.2,3073.3,
Ar IV,3077.26,3077.268,8
Ar III,3078.15,3078.1323,10
Ar II,3082.9777,3082.97760,10
Ar II,3083.193,3083.19881,1
Ar III,3083.64,3083.598,3
Ar II,3085.0273,3085.02675,19
Ar II,3088.2151,3088.2132,8
Ar II,3088.910,3088.91368,3
Ar II,3093.4018,3093.40173,68
Ar II,3094.9654,3094.96469,8
Ar II,3099.925,3099.92564,4
Ar II,3101.004,3101.00855,2
Ar II,3102.5862,3102.58606,5
Ar II,3102.953,3102.953,1
Ar II,3104.3601,3104.35963,17
Ar II,3108.801,3108.80493,2
Ar III,3109.08,3109.18,
Ar II,3109.711,3109.71205,4
Ar II,3109.98,3109.97801,0.5
Ar III,3110.41,3110.340,7
Ar II,3114.378,3114.38155,3
Ar VII,3117.8,3117.9,
Ar II,3124.268,3124.27803,1
Ar III,3127.90,3127.9036,7
Ar IV,3134.79,3134.84,9
Ar II,3136.4839,3136.48425,7
Ar II,3137.629,3137.63261,3
Ar II,3139.0174,3139.01722,79
Ar II,3139.2636,3139.26372,8
Ar II,3140.963,3140.97313,2
Ar II,3143.891,3143.89502,3
Ar II,3145.900,3145.90397,2
Ar II,3146.422,3146.42615,4
Ar II,3148.206,3148.20599,2
Ar II,3150.510,3150.51619,4
Ar II,3152.613,3152.61816,3
Ar II,3153.7844,3153.78461,13
Ar II,3153.947,3153.95951,0.5
Ar VIII,3154.1,3154.0,
Ar II,3154.289,3154.29950,2
Ar III,3157.42,3157.476,5
Ar II,3158.208,3158.21330,0.5
Ar II,3161.3729,3161.37289,45
Ar II,3161.4570,3161.45654,15
Ar II,3163.535,3163.54059,2
Ar II,3165.2910,3165.29107,11
Ar II,3167.464,3167.47134,3
Ar II,3169.6682,3169.66803,78
Ar II,3171.403,3171.40735,3
Ar III,3171.64,3171.6871,2
Ar II,3172.862,3172.86133,3
Ar II,3181.0374,3181.03714,45
Ar II,3184.268,3184.26728,1
Ar II,3185.734,3185.73647,3
Ar II,3186.1716,3186.17165,4
Ar III,3187.90,3187.899,6
Ar II,3188.369,3188.38080,1
Ar II,3191.95,3191.95415,0.5
Ar II,3192.363,3192.36897,3
Ar II,3193.512,3193.51475,1
Ar II,3194.2303,3194.23023,14
Ar II,3194.598,3194.60488,4
Ar II,3195.574,3195.58763,2
Ar II,3195.752,3195.75525,5
Ar II,3198.920,3198.92651,2
Ar I,3200.37,,8
Ar II,3203.392,3203.39272,3
Ar II,3204.3206,3204.32086,35
Ar II,3205.006,3205.0038,6
Ar II,3207.581,3207.58125,5
Ar II,3207.655,3207.66891,2
Ar II,3212.5178,3212.51810,7
Ar II,3215.688,3215.69249,3
Ar VII,3216.6,3215.8,
Ar II,3216.7297,3216.72967,6
Ar II,3217.6730,3217.67341,5
Ar II,3221.625,3221.62493,7
Ar II,3222.3977,3222.39785,8
Ar III,3223.389,3223.42,1
Ar II,3225.973,3225.97416,6
Ar II,3230.021,3230.02270,4
Ar II,3230.680,3230.68288,2
Ar II,3235.175,3235.17980,3
