ion,airwave,ritzwave,relint
Cu I,3001.24,3001.181,5
Cu I,3001.774,3001.763,2
Cu XXVIII,,3002,
Cu I,3002.281,3002.287,10
Cu I,3004.73,3004.79,1
Cu XVII,3007.6,3008,
Cu I,3007.80,3007.776,1
Cu I,3008.12,3008.091,5
Cu I,3008.12,3008.125,5
Cu I,3010.838,3010.835,2000
Cu I,3012.005,3012.019,250
Cu I,3012.775,3012.757,1
Cu I,3013.510,3013.525,2
Cu I,3014.848,3014.837,30
Cu I,3016.24,3016.250,0
Cu I,3018.09,3018.067,2
Cu I,3021.544,3021.556,300
Cu I,3022.608,3022.606,300
Cu I,,3024.899,
Cu I,3024.994,3024.994,100
Cu I,3027.82,3027.79,5
Cu I,3029.60,3029.593,2
Cu I,3030.258,3030.258,10
Cu I,3033.480,3033.458,2
Cu I,3034.555,3034.580,3
Cu I,3036.101,3036.096,2500
Cu I,3039.488,3039.490,10
Cu I,3040.467,3040.432,1
Cu I,3041.62,3041.620,0
Cu I,3044.028,3044.035,20
Cu I,3045.025,3045.056,1
Cu I,3047.795,3047.805,1
Cu I,3051.901,3051.900,2
Cu I,3052.554,3052.532,15
Cu I,3053.38,3053.382,10
Cu I,3057.36,3057.349,8
Cu I,3060.84,3060.790,2
Cu I,3063.411,3063.410,2500
Cu I,3066.011,3066.022,3
Cu I,3068.906,3068.900,15
Cu I,3070.97,3070.935,5
Cu I,3071.96,3071.954,2
Cu I,3073.798,3073.795,1400
Cu I,3082.53,3082.468,
Cu I,3084.96,3085.021,2
Cu I,3084.96,3085.037,2
Cu I,3084.96,3085.048,2
Cu I,3086.47,3086.491,2
Cu I,3088.132,3088.125,125
Cu I,3093.989,3093.986,1500
Cu I,3099.928,3099.920,1250
Cu I,3106.912,3106.921,1
Cu I,3108.452,3108.443,600
Cu I,3108.605,3108.600,2000
Cu I,3113.482,3113.476,50
Cu I,3116.348,3116.351,400
Cu I,3118.355,3118.361,5
Cu I,3120.435,3120.439,50
Cu I,3121.93,3121.930,0
Cu I,3123.00,3123.068,1
Cu I,3124.373,3124.390,1
Cu I,3126.109,3126.104,1400
Cu I,3128.701,3128.693,650
Cu I,3131.33,3131.336,5
Cu I,3135.01,3135.054,1
Cu I,3137.72,3137.699,5
Cu I,3139.17,3139.143,0
Cu I,3140.312,3140.319,400
Cu I,3142.444,3142.432,750
Cu I,3142.797,3142.760,8
Cu I,3146.821,3146.820,450
Cu I,3148.333,3148.341,3
Cu I,3148.57,3148.555,2
Cu I,3149.508,3149.515,30
Cu I,3151.62,3151.630,8
Cu I,3152.29,3152.275,1
Cu I,3156.629,3156.625,450
Cu I,3158.02,3158.023,1
Cu I,3160.047,3160.057,25
Cu I,3169.681,3169.679,500
Cu I,3171.663,3171.645,5
Cu I,3175.67,3175.70,60
Cu I,3179.343,3179.338,2
Cu I,3192.22,3192.191,2
Cu I,3194.099,3194.096,1500
Cu I,3208.231,3208.225,1400
Cu I,3209.498,3209.475,4
Cu I,3211.43,3211.421,30
Cu I,3217.64,3217.658,10
Cu I,3218.204,3218.213,5
Cu I,3220.65,3220.683,8
Cu I,3221.35,3221.357,8
Cu I,3223.435,3223.429,400
Cu I,3224.664,3224.659,450
Cu I,3225.088,3225.113,2
Cu I,3225.698,3225.705,5
Cu I,3226.541,3226.521,50
Cu I,3226.602,3226.593,150
Cu I,3231.178,3231.169,650
Cu I,3233.899,3233.898,450
Cu I,3235.713,3235.711,650
Cu I,3239.16,3239.154,150
Cu I,3243.164,3243.161,1500
Cu I,3247.540,3247.5358,10000
Cu I,3252.220,3252.220,650
Cu I,3266.023,3266.009,650
Cu I,3268.278,3268.286,650
Cu I,3273.957,3273.9521,10000
Cu I,3277.310,3277.309,650
Cu I,3279.815,3279.809,2000
Cu I,3282.716,3282.707,1400
Cu I,3285.017,3285.01,1
Cu I,3285.017,3285.075,1
Cu I,3286.193,3286.193,2
Cu II,3290.418,,400
Cu I,3290.541,3290.539,1500
Cu I,3292.393,3292.387,125
Cu I,3292.827,3292.825,650
Cu I,3292.965,3292.960,450
