ion,airwave,ritzwave,relint
He I,3013.7,3013.71,40
He I,,3187.7331755,
He I,3187.745,3187.7443901,20
He I,3187.745,3187.7453046,20
He II,,3202.9469209,
He II,,3202.9611771,
He II,,3202.9822219,
He II,,3202.9996463,
He II,,3203.1119344,
He II,,3203.1122042,
He II,,3203.12466979,
He II,,3203.1250273,
He II,,3203.1603323,
He II,,3203.16314299,
He II,,3203.1648899,
He II,,3203.1713015,
He II,,3203.18403732,
He I,3231.266,3231.2703837,0
He I,3258.275,3258.2734954,1
He I,,3296.7729278,
He I,,3354.5550871,1
He I,,3447.5890219,2
He I,,3449.2707935,
He I,3554.415,3554.4061347,1
He I,3554.415,3554.4062837,1
He I,3554.415,3554.4062943,1
He I,3554.415,3554.4157932,1
He I,3554.415,3554.4159421,1
He I,,3554.5406487,
He I,3562.979,3562.9690690,0
He I,3562.979,3562.9787741,0
He I,,3563.1042318,
He I,3587.270,3587.2617918,1
He I,3587.270,3587.2619999,1
He I,3587.270,3587.2620147,1
He I,3587.270,3587.2716296,1
He I,3587.270,3587.2718377,1
He I,,3587.3988039,0
He I,,3599.3044966,
He I,,3599.3144006,
He I,,3599.4424302,
He I,3613.643,3613.6420797,3
He I,,3616.8023566,
He I,,3634.2307608,2
He I,,3634.2310651,2
He I,,3634.2310866,2
He I,,3634.2408580,2
He I,,3634.2411623,2
He I,,3634.3713843,0
He I,3651.990,3651.9815254,1
He I,3651.990,3651.9917214,1
He I,,3652.1235259,0
He I,3705.005,3704.9952679,3
He I,3705.005,3704.9957402,3
He I,3705.005,3704.9957733,3
He I,3705.005,3705.0057621,3
He I,3705.005,3705.0062344,3
He I,,3705.1414209,0
He I,,3732.8634708,1
He I,,3732.8741235,1
He I,,3733.0118307,
He I,3819.6074,3819.6019693,10
He I,3819.6074,3819.6027670,10
He I,3819.6074,3819.6028223,10
He I,3819.6074,3819.6131227,10
He I,3819.6074,3819.6139205,10
He I,,3819.7573038,1
He I,3833.554,3833.5486978,0
He I,,3838.1001100,
He I,,3867.4723364,3
He I,,3867.4837711,3
He I,,3867.6315888,1
He I,3871.791,3871.7863913,1
He I,,3878.1768423,
He I,,3888.6046477,
He I,3888.648,3888.6455855,500
He I,3888.648,3888.6489095,500
He I,,3926.5443713,1
He I,3935.912,3935.9452076,0
He I,3964.7291,3964.7288138,20
He I,,3972.0154390,
He I,,4009.2564996,1
He I,4023.973,4023.9797783,1
He I,4026.1914,4026.1843608,50
He I,4026.1914,4026.1858945,50
He I,4026.1914,4026.1859985,50
He I,4026.1914,4026.1967533,50
He I,4026.1914,4026.1982870,50
He I,,4026.3569519,5
He I,4120.8154,4120.8107572,12
He I,4120.8154,4120.8237390,12
He I,,4120.9915563,2
He I,,4141.3321395,
He I,4143.761,4143.7590421,3
He I,4168.967,4168.9714947,1
He I,,4383.2785356,
He I,4387.9296,4387.9291241,10
He I,4437.551,4437.5534076,3
He I,4471.4802,4471.4703652,200
He I,4471.4802,4471.4740693,200
He I,4471.4802,4471.4743096,200
He I,4471.4802,4471.4856503,200
He I,4471.4802,4471.4893544,200
He I,,4471.6832433,25
He II,,4685.376849,
He II,,4685.4072254,
He II,,4685.5244041,
He II,,4685.5680062,
He II,,4685.7038494,
He II,,4685.704380,
He II,,4685.75707958,
He II,,4685.757974,
He II,,4685.8040922,
He II,,4685.8308897,
He II,,4685.88412282,
He II,,4685.9055531,
He II,,4685.91788438,
He I,4713.1457,4713.139164,30
He I,4713.1457,4713.156145,30
He I,,4713.375674,4
He I,,4910.7474561,
He I,,4920.6127012,
He I,4921.9313,4921.9310128,20
He I,5015.6783,5015.6779810,100
He I,,5042.0874696,
He I,5047.738,5047.738543,10
He I,,5874.4338688,
He I,,5874.4602500,
He I,,5875.5986967,
He I,5875.621,5875.6139605,500
He I,5875.621,5875.6148281,500
He I,5875.621,5875.6250884,500
He I,5875.621,5875.6403524,500
He I,,5875.9662635,100
He II,,6559.7687169,
He II,,6559.7939529,
He II,,6559.8543955,
He II,,6559.8873276,
He II,,6560.052274,
He II,,6560.0527421,
He II,,6560.083184,
He II,,6560.0838670,
He II,,6560.1415990,
He II,,6560.141759,
He II,,6560.157075,
He II,,6560.157321,
He II,,6560.1695539,
He II,,6560.176567,
He II,,6560.1847844,
He II,,6560.188201,
He II,,6560.188232,
He II,,6560.1941218,
He II,,6560.209598,
He I,,6631.901823,
He I,6678.151,6678.151704,100
He I,,6679.676834,
He I,7065.190,7065.17714,200
He I,7065.190,7065.21530,200
He I,7065.71,7065.70861,30
He I,,7160.55563,
He I,,7160.55907,
He I,,7160.55935,
He I,7281.349,7281.350742,50
He I,,7298.03204,
He I,,7298.03696,
He I,,7298.03736,
He I,,7499.84714,
He I,,7499.85457,
He I,,7499.85517,
He I,,7816.12468,1
He I,,7816.13680,1
He I,,7816.13778,1
He I,,8094.114128,
He I,,8265.700552,
He I,,8361.71342,2
He I,,8361.73561,2
He I,,8361.73742,2
He I,,8518.035967,
He I,,8582.611639,
He I,,8582.612507,
He I,,8582.612569,
He I,,8582.627831,
He I,,8582.628699,
He I,,8582.827252,
He I,,8632.706693,
He I,,8632.723074,
He I,,8632.924830,
He I,,8776.707423,
He I,,8776.708669,
He I,,8776.708757,
He I,,8776.724356,
He I,,8776.725602,
He I,,8776.932899,
He I,,8849.144420,
He I,,8849.161634,
He I,,8849.373633,
He I,,8863.661289,
He I,,8914.77170,
He I,,8996.9660680,
He I,,8996.9667965,
He I,,8996.9672425,
He I,,8996.9674806,
He I,,8996.9681023,
He I,,8996.9688307,
He I,,8996.9695148,
He I,,8997.0046197,
He I,,8997.5204844,
He I,,8999.7364392,
He I,,8999.7378526,
He I,,9009.1447411,
He I,,9009.1463376,
He I,,9009.1467809,
He I,,9009.1767731,
He I,,9009.1822235,
He I,,9009.1826668,
He I,,9063.282130,2
He I,,9063.284022,2
He I,,9063.284156,2
He I,,9063.300186,2
He I,,9063.302079,2
He I,,9063.522570,
He I,,9085.420767,
He I,,9111.025992,
He I,,9174.488293,
He I,,9174.506795,
He I,,9174.734670,
He I,,9210.0494560,
He I,,9210.3251511,
He I,,9210.3272830,
He I,9210.337,9210.3261714,2
He I,9210.337,9210.3268126,2
He I,9210.337,9210.3271626,2
He I,9210.337,9210.3283032,2
He I,9210.337,9210.3292945,2
He I,9210.337,9210.3658098,2
He I,,9213.2284970,
He I,,9213.2305098,
He I,,9227.8518486,
He I,,9227.8533481,
He I,,9227.8539885,
He I,,9227.8831288,
He I,,9227.8909976,
He I,,9227.8916380,
He I,,9303.162891,
He I,,9340.142664,
He I,,9463.53679,10
He I,,9463.58646,10
He I,,9463.59051,10
He I,,9516.562190,4
He I,,9516.565306,4
He I,,9516.565524,4
He I,,9516.582098,4
He I,,9516.585214,4
He I,,9516.827282,1
He I,,9524.4328328,
He I,,9526.1550646,
He I,,9526.1573452,
He I,9526.17,9526.1565628,3
He I,9526.17,9526.1575396,3
He I,9526.17,9526.1580896,3
He I,9526.17,9526.1588434,3
He I,9526.17,9526.1603702,3
He I,9526.17,9526.1989663,3
He I,,9529.2640002,
He I,9529.27,9529.2609733,1
He I,,9552.8901132,
He I,,9552.8914253,
He I,,9552.8924066,
He I,,9552.9197174,
He I,,9552.9317737,
He I,,9552.9327551,
He I,,9603.44084,1
He I,,9616.50108,
He I,,9625.697313,
He I,,9682.387711,
He I,,9702.614079,3
He I,,9702.634772,3
He I,,9702.889638,
