ion,airwave,ritzwave,relint
Hg II,3004.385,3004.3862,300
Hg II,3004.863,3004.8640,100
Hg II,3006.507,3006.5034,2000
Hg I,3007.14,3007.190,3
Hg II,3011.162,3011.1621,300
Hg I,3011.48,3011.520,3
Hg I,3011.48,3011.720,3
Hg I,3021.504,3021.5041,1200
Hg I,3023.471,3023.4748,300
Hg I,3025.606,3025.6150,30
Hg I,3027.490,3027.4888,60
Hg II,3034.916,3034.9147,2000
Hg I,3038.45,3038.411,
Hg II,3044.610,3044.6113,25
Hg II,3045.161,3045.1583,30
Hg II,3045.161,3045.1585,30
Hg II,3048.503,3048.4939,25
Hg I,3049.705,3049.705,
Hg II,3055.765,3055.7646,60
Hg II,3064.529,3064.5277,800
Hg II,3067.684,3067.6895,480
Hg II,3069.177,,40
Hg II,3070.478,,35
Hg II,3087.549,,1100
Hg III,3090.05,,15
Hg II,3102.668,,150
Hg II,3116.195,3116.1989,15000
Hg I,3125.674,3125.6732,4000
Hg I,3131.555,3131.5547,3000
Hg I,3131.844,3131.8443,4000
Hg I,3136.679,3136.6813,
Hg II,3139.679,,30
Hg I,3144.28,3144.2320,
Hg II,3172.116,3172.1148,40
Hg II,3187.744,,70
Hg II,3191.019,3191.0225,7500
Hg II,3191.591,,35
Hg II,3201.385,3201.3869,2500
Hg II,3207.709,,500
Hg II,3208.169,3208.1713,120000
Hg II,3227.813,,150
Hg II,3252.076,3252.0733,450
Hg II,3252.916,,100
Hg II,3256.018,,80
Hg II,3257.501,3257.4985,900
Hg II,3261.552,3261.5628,3
Hg II,3264.039,3264.0340,60000
Hg II,3264.552,3264.5577,100
Hg II,3277.846,3277.8451,10000
Hg II,3278.104,3278.1029,100
Hg III,3283.02,,5
Hg II,3284.712,3284.7018,10
Hg II,3289.366,3289.3623,300
Hg I,3304.873,3304.881,
Hg III,3312.28,,12
Hg II,3317.279,3317.2809,700
Hg II,3330.001,3330.0001,150
Hg II,3335.226,,300
Hg II,3338.424,3338.4240,2000
Hg II,3338.709,,30
Hg II,3338.964,3338.9639,50
Hg I,3341.484,3341.4834,700
Hg II,3348.487,,80
Hg II,3362.671,3362.6705,10
Hg I,3362.71,3362.71,
Hg I,3368.15,3368.15,
Hg I,3371.73,3371.73,
Hg II,3373.333,,500
Hg I,3374.93,3374.93,
Hg I,3379.44,3379.43,
Hg I,3383.30,3383.29,
Hg II,3385.103,3385.1067,2000
Hg I,3388.78,3388.82,
Hg III,3389.01,,8
Hg I,3393.71,3393.69,
Hg I,3400.68,3400.68,
Hg II,3401.389,,200
Hg I,3406.99,3406.99,
Hg I,3415.98,3415.98,
Hg I,3424.26,3424.31,
Hg II,3424.789,,400
Hg II,3427.310,,100
Hg II,3429.584,3429.5843,1000
Hg I,3436.15,3436.15,
Hg II,3436.917,3436.9130,400
Hg I,3446.64,3446.66,
Hg I,3447.27,3447.26,
Hg III,3450.77,,5
Hg II,3451.689,3451.6870,30000
Hg II,3459.164,3459.1704,350
Hg I,3463.52,3463.51,
Hg I,3477.16,3477.29,0
Hg I,3478.04,3478.04,
Hg I,3478.91,3478.90,
Hg II,3484.872,3484.8719,400
Hg II,3488.399,,150
Hg II,3493.859,3493.8597,8000
Hg III,3500.35,,3
Hg I,3502.00,3501.99,
Hg II,3509.758,3509.7560,100
Hg II,3510.625,3510.6213,800
Hg II,3515.164,3515.1597,200
Hg II,3515.164,3515.1600,200
Hg I,3521.70,3521.80,0
Hg I,3523.02,3523.01,
Hg I,3524.27,3524.21,
Hg II,3532.594,3532.599,100000
Hg III,3538.88,,4
Hg II,3541.352,3541.3493,100
Hg I,3543.46,3543.35,60
Hg II,3549.411,3549.4074,30000
Hg III,3557.24,,5
Hg I,3558.73,3558.73,
Hg II,3562.385,,100
Hg I,3588.85,3588.83,0
Hg I,3591.01,3590.992,
Hg I,3591.48,3591.53,1
Hg I,3592.74,3592.748,
Hg II,3602.931,3602.9286,600
Hg II,3603.908,3603.903,1500
Hg II,3604.085,3604.0843,45000
Hg II,3605.762,3605.7616,100000
Hg II,3606.885,3606.8854,8000
Hg II,3614.875,3614.8760,450
Hg II,3632.363,3632.3593,8000
Hg II,3643.293,3643.2961,100
Hg II,3643.293,3643.3006,100
Hg I,3650.158,3650.1579,9000
Hg I,3654.842,3654.8429,3000
Hg I,3662.887,3662.8869,500
