ion,airwave,ritzwave,relint
Ne II,3001.6685,3001.66856,300
Ne VII,,3002,
Ne II,3007.029,3007.0228,22
Ne III,3007.54,3007.489,100
Ne II,3007.832,3007.832,160
Ne II,3007.933,3007.933,140
Ne II,3010.451,3010.4373,22
Ne III,3011.80,3011.806,140
Ne I,3012.1354,3012.1370,500
Ne I,3012.9576,3012.9602,500
Ne VIII,3013.1,3011.8,9i
Ne II,3013.975,3013.9713,40
Ne II,,3015.709,
Ne II,3017.3093,3017.3092,240
Ne I,3017.3547,3017.3560,500
Ne III,3018.10,3018.106,70
Ne III,3020.13,3020.148,50
Ne III,3026.39,3026.47,70
Ne I,3026.913,3026.9225,150
Ne I,3026.913,3026.9238,150
Ne II,3027.0151,3027.01507,200
Ne VIII,,3028.3,
Ne I,3028.424,3028.4276,30
Ne I,3028.424,3028.4298,30
Ne II,3028.7000,3028.7001,180
Ne II,3028.8633,3028.86350,240
Ne II,3029.713,3029.7102,120
Ne I,3030.3235,3030.3226,500
Ne II,3030.7876,3030.78742,200
Ne II,3030.930,3030.930,22
Ne VIII,3031,3031,25
Ne VIII,3031.1,3029.4,25
Ne VIII,3031.1,3030.7,25
Ne II,3034.340,3034.3423,120
Ne II,3034.4609,3034.46102,240
Ne II,3035.9216,3035.92172,200
Ne II,3036.626,3036.6253,160
Ne II,3037.7192,3037.71908,200
Ne II,3039.5855,3039.58570,200
Ne II,3044.0878,3044.08773,200
Ne II,3045.556,3045.5550,200
Ne I,3045.9471,3045.9502,70
Ne II,3047.5569,3047.55687,240
Ne II,3050.4724,3050.4727,180
Ne II,3050.763,3050.7625,140
Ne III,3051.82,3051.820,70
Ne VII,,3054,
Ne II,3054.3449,3054.3449,200
Ne II,3054.425,3054.4289,180
Ne II,3054.6747,3054.67473,200
Ne III,3054.834,3054.832,1000
Ne III,3056.111,3056.114,400
Ne I,3057.3907,3057.3915,3000
Ne II,3057.8669,3057.8679,180
Ne II,3059.1050,3059.10487,200
Ne II,3059.724,3059.7259,160
Ne II,3061.854,3061.847,100
Ne II,3062.4913,3062.4913,200
Ne II,3063.3015,3063.3023,200
Ne I,3063.6952,3063.6960,2000
Ne II,3064.556,3064.544,22
Ne I,3065.668,3065.6725,50
Ne II,3066.683,3066.6868,22
Ne I,3067.214,3067.2187,250
Ne I,3067.214,3067.2164,250
Ne II,3067.4494,3067.4490,160
Ne II,3070.8916,3070.8916,200
Ne II,3071.0871,3071.08713,180
Ne II,3071.5310,3071.5311,200
Ne II,3072.302,3072.302,40
Ne II,3072.654,3072.6478,180
Ne II,3072.654,3072.65541,180
Ne II,3073.821,3073.8230,140
Ne II,3075.077,3075.0724,22
Ne II,3075.738,3075.7298,200
Ne II,3075.738,3075.7411,200
Ne II,3076.3569,3076.3573,180
Ne I,3076.9761,3076.9768,2000
Ne II,3077.8454,3077.8400,160
Ne II,3078.5872,3078.5910,160
Ne I,3078.8806,3078.8808,1000
Ne I,3079.1808,3079.1807,1000
Ne II,3081.3421,3081.3419,180
Ne II,3082.613,3082.6205,160
Ne II,3082.706,3082.715,140
Ne II,3084.019,3084.020,60
Ne II,3084.919,3084.9211,160
Ne II,3086.080,3086.0854,140
Ne II,3086.182,3086.181,22
Ne II,3088.1641,3088.16405,240
Ne II,3088.276,3088.2881,160
Ne III,3091.19,3091.160,200
Ne II,3092.0940,3092.0940,200
Ne II,3092.9020,3092.9020,240
Ne II,3094.0059,3094.00577,200
Ne II,3095.1034,3095.1036,200
Ne II,3095.184,3095.1680,180
Ne II,3095.184,3095.1845,180
Ne II,3097.1318,3097.1317,200
Ne II,3097.535,3097.5403,80
Ne II,3098.827,3098.8277,120
Ne II,3100.005,3100.0025,22
Ne I,3101.407,3101.4142,70
Ne III,3105.73,3105.717,160
Ne VIII,3106.1,3103.3,100
Ne VIII,3106.1,3107.0,100
Ne II,3112.821,3112.8151,40
Ne II,3115.672,3115.670,160
Ne II,3116.695,3116.6873,180
Ne II,3116.762,3116.7797,180
Ne II,3117.153,3117.1535,100
Ne II,3117.793,3117.7864,60
Ne II,3117.9807,3117.98060,200
Ne II,3118.1600,3118.1602,240
Ne II,3118.94,3118.944,30
Ne II,3119.472,3119.4816,40
Ne II,3120.635,3120.6304,40
Ne II,3123.367,3123.3648,22
Ne II,3123.476,3123.464,140
Ne II,3123.500,3123.507,140
Ne II,3124.185,3124.1847,180
Ne II,3124.948,3124.946,80
Ne I,3126.1965,3126.1971,2000
Ne II,3132.190,3132.1875,180
Ne VI,3133.2,3133.2,13
Ne II,3134.066,3134.0654,80
Ne II,3134.132,3134.1359,140
Ne VI,3135.0,3135.2,28
Ne II,,3135.790,
Ne II,3135.817,3135.81582,160
Ne VI,3136.4,3136.5,28
Ne II,3136.476,3136.47680,100
Ne II,3138.058,3138.0557,160
Ne VI,3139.7,3139.7,16
Ne II,3140.358,3140.3536,100
Ne II,3141.3320,3141.33196,240
Ne II,3142.305,3142.3102,22
Ne II,3143.7204,3143.72019,200
Ne II,3145.425,3145.4341,22
Ne I,3147.7135,3147.7108,250
Ne I,3148.6107,3148.6099,1000
Ne II,3148.680,3148.6815,200
Ne II,3151.1364,3151.13666,180
Ne II,3151.596,3151.6041,80
Ne III,3152.60,3152.591,200
Ne I,3153.4107,3153.4107,1000
Ne II,3153.678,3153.6848,140
Ne II,3154.795,3154.7931,140
Ne II,3156.333,3156.3297,22
Ne II,3159.937,3159.9396,60
Ne III,3159.95,3159.942,200
Ne II,3163.578,3163.5777,60
Ne II,3164.228,3164.2296,40
Ne II,3164.4295,3164.4295,200
Ne II,3164.6618,3164.6621,240
Ne III,3165.01,3165.007,180
Ne II,3165.6479,3165.6480,200
Ne II,3166.176,3166.1812,140
Ne I,3167.5762,3167.5756,500
Ne II,3169.308,3169.3022,12
Ne III,3169.80,3169.785,50
Ne II,3172.474,3172.4730,160
Ne II,3173.5726,3173.5728,180
Ne III,3173.60,3173.724,200
Ne II,3173.671,3173.6779,160
